day_key,entry_time,side,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_usdt,r_multiple,used_fallback
2025-06-01,2025-06-01 12:00:00+00:00,long,104123.5,103859.80857142857,104562.98571428572,2025-06-01 14:00:00+00:00,104562.98571428572,take_profit,33.3333333333337,1.6666666666666852,False
2025-06-03,2025-06-03 12:00:00+00:00,long,105325.9,105028.90857142856,105820.8857142857,2025-06-03 14:30:00+00:00,105820.8857142857,take_profit,33.333333333332355,1.6666666666666177,False
2025-06-04,2025-06-04 12:15:00+00:00,short,104910.0,105142.29428571429,104522.84285714285,2025-06-04 14:00:00+00:00,104522.84285714285,take_profit,33.33333333333292,1.6666666666666459,False
2025-06-05,2025-06-05 12:00:00+00:00,long,105061.1,104506.46,105985.5,2025-06-05 13:45:00+00:00,104506.46,stop_loss,-20.0,-1.0,False
2025-06-07,2025-06-07 12:15:00+00:00,long,105241.0,105109.45428571428,105460.24285714286,2025-06-07 12:30:00+00:00,105460.24285714286,take_profit,33.3333333333326,1.6666666666666299,False
2025-06-08,2025-06-08 12:00:00+00:00,long,105702.7,105475.38571428572,106081.55714285714,2025-06-08 13:45:00+00:00,106081.55714285714,take_profit,33.33333333333419,1.6666666666667094,False
2025-06-09,2025-06-09 12:30:00+00:00,long,107873.4,107338.05428571427,108765.64285714286,2025-06-09 19:15:00+00:00,108765.64285714286,take_profit,33.33333333333297,1.6666666666666485,False
2025-06-11,2025-06-11 12:30:00+00:00,long,109769.0,109440.61142857143,110316.31428571428,2025-06-11 14:15:00+00:00,110316.31428571428,take_profit,33.33333333333304,1.6666666666666519,False
2025-06-12,2025-06-12 12:30:00+00:00,long,107348.4,106858.01142857142,108165.71428571428,2025-06-12 17:15:00+00:00,108165.71428571428,take_profit,33.33333333333314,1.6666666666666567,False
2025-06-13,2025-06-13 12:00:00+00:00,long,105136.7,104875.69142857143,105571.71428571429,2025-06-13 15:15:00+00:00,105571.71428571429,take_profit,33.33333333333445,1.6666666666667225,False
